task_id,language,model_name,true_bug_type,true_failure_symptom,predicted_bug_type,diagnosis_match,code_length,fix_success
Python/87,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,3,1
Python/88,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,18,1
Python/89,python,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,21,1
Python/90,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,15,1
Python/91,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,4,0
Python/92,python,qwen2.5-coder:7b,missing logic,incorrect output,operator misuse,0,25,1
Python/93,python,qwen2.5-coder:7b,missing logic,incorrect output,operator misuse,0,18,0
Python/94,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,28,1
Python/95,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,34,1
Python/96,python,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,21,1
Python/97,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,2,1
Python/98,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,16,1
Python/99,python,qwen2.5-coder:7b,function misuse,incorrect output,variable misuse,0,13,1
Python/100,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,2,0
Python/101,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,22,0
Python/102,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,16,1
Python/103,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,17,1
Python/104,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,17,1
Python/105,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,18,1
Python/106,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,20,1
Python/107,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,37,0
Python/108,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,8,1
Python/109,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,9,0
Python/110,python,qwen2.5-coder:7b,variable misuse,incorrect output,value misuse,0,25,1
Python/111,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,15,1
Python/112,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,3,1
Python/113,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,6,1
Python/114,python,qwen2.5-coder:7b,function misuse,incorrect output,operator misuse,0,18,1
Python/115,python,qwen2.5-coder:7b,function misuse,incorrect output,value misuse,0,3,1
Python/116,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,2,0
Python/117,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,10,0
Python/118,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,25,1
Python/119,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,15,1
Python/120,python,qwen2.5-coder:7b,excess logic,incorrect output,function misuse,0,7,0
Python/121,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,2,1
Python/122,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,2,1
Python/123,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,28,0
Python/124,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,38,0
Python/125,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,18,1
Python/126,python,qwen2.5-coder:7b,missing logic,incorrect output,variable misuse,0,8,0
Python/127,python,qwen2.5-coder:7b,missing logic,incorrect output,value misuse,0,38,1
Python/128,python,qwen2.5-coder:7b,excess logic,incorrect output,value misuse,0,15,1
Python/129,python,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,28,1
Python/130,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,28,0
Python/131,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,19,1
Python/132,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,17,1
Python/133,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,5,0
Python/134,python,qwen2.5-coder:7b,function misuse,incorrect output,operator misuse,0,17,1
Python/135,python,qwen2.5-coder:7b,excess logic,incorrect output,variable misuse,0,8,1
Python/136,python,qwen2.5-coder:7b,excess logic,incorrect output,variable misuse,0,17,1
Python/137,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,19,1
Python/138,python,qwen2.5-coder:7b,excess logic,incorrect output,missing logic,0,8,1
Python/139,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,20,1
Python/140,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,21,1
Python/141,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,29,1
Python/142,python,qwen2.5-coder:7b,missing logic,incorrect output,operator misuse,0,20,1
Python/143,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,29,0
Python/144,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,21,1
Python/145,python,qwen2.5-coder:7b,excess logic,incorrect output,value misuse,0,20,1
Python/146,python,qwen2.5-coder:7b,excess logic,incorrect output,value misuse,0,10,1
Python/147,python,qwen2.5-coder:7b,missing logic,incorrect output,excess logic,0,9,0
Python/148,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,25,1
Python/149,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,4,1
Python/150,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,17,1
Python/151,python,qwen2.5-coder:7b,missing logic,incorrect output,value misuse,0,2,0
Python/152,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,1,0
Python/153,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,11,1
Python/154,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,7,1
Python/155,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,15,1
Python/156,python,qwen2.5-coder:7b,missing logic,infinite loop,operator misuse,0,24,0
Python/157,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,12,1
Python/158,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,9,1
Python/159,python,qwen2.5-coder:7b,excess logic,incorrect output,value misuse,0,5,1
Python/160,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,5,1
Python/161,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,13,1
Python/162,python,qwen2.5-coder:7b,function misuse,incorrect output,variable misuse,0,2,0
Python/163,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,16,0
CPP/0,cpp,qwen2.5-coder:7b,missing logic,incorrect output,operator misuse,0,15,1
CPP/1,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,24,1
CPP/2,cpp,qwen2.5-coder:7b,excess logic,incorrect output,value misuse,0,6,1
CPP/3,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,8,1
CPP/4,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,value misuse,0,17,1
CPP/5,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,13,1
CPP/6,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,25,1
CPP/7,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,12,1
CPP/8,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,13,0
CPP/9,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,12,0
CPP/10,cpp,qwen2.5-coder:7b,missing logic,stackoverflow,missing logic,1,33,0
CPP/11,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,18,1
CPP/12,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,12,1
CPP/13,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,11,1
CPP/14,cpp,qwen2.5-coder:7b,excess logic,incorrect output,missing logic,0,13,1
CPP/15,cpp,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,11,1
CPP/16,cpp,qwen2.5-coder:7b,missing logic,incorrect output,variable misuse,0,19,1
CPP/17,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,22,1
CPP/18,cpp,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,11,1
CPP/19,cpp,qwen2.5-coder:7b,missing logic,incorrect output,variable misuse,0,33,1
CPP/20,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,19,1
CPP/21,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,13,1
CPP/22,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,17,0
CPP/23,cpp,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,6,1
CPP/24,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,9,1
CPP/25,cpp,qwen2.5-coder:7b,value misuse,incorrect output,variable misuse,0,16,1
CPP/26,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,23,0
CPP/27,cpp,qwen2.5-coder:7b,function misuse,incorrect output,operator misuse,0,14,1
CPP/28,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,11,1
CPP/29,cpp,qwen2.5-coder:7b,function misuse,incorrect output,missing logic,0,6,1
CPP/30,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,10,1
CPP/31,cpp,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,10,1
CPP/32,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,variable misuse,1,43,0
CPP/33,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,19,1
CPP/34,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,9,1
CPP/35,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,10,1
CPP/36,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,18,1
CPP/37,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,17,1
CPP/38,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,32,0
CPP/39,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,27,1
CPP/40,cpp,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,7,1
CPP/41,cpp,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,3,0
CPP/42,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,8,0
CPP/43,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,10,1
CPP/44,cpp,qwen2.5-coder:7b,operator misuse,infinite loop,operator misuse,1,12,1
CPP/45,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,6,1
CPP/46,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,14,1
CPP/47,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,5,0
CPP/48,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,8,1
CPP/49,cpp,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,9,1
CPP/50,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,25,0
CPP/51,cpp,qwen2.5-coder:7b,excess logic,incorrect output,variable misuse,0,15,0
CPP/52,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,8,1
CPP/53,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,7,1
CPP/54,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,13,1
CPP/55,cpp,qwen2.5-coder:7b,excess logic,incorrect output,missing logic,0,13,1
CPP/56,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,14,0
CPP/57,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,13,0
CPP/58,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,19,1
CPP/59,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,11,0
CPP/60,cpp,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,6,1
CPP/61,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,14,1
CPP/62,cpp,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,9,1
CPP/63,cpp,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,15,1
CPP/64,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,12,0
CPP/65,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,13,0
CPP/66,cpp,qwen2.5-coder:7b,function misuse,incorrect output,operator misuse,0,10,1
CPP/67,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,28,1
CPP/68,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,13,1
CPP/69,cpp,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,14,1
CPP/70,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,18,0
CPP/71,cpp,qwen2.5-coder:7b,missing logic,incorrect output,operator misuse,0,10,1
CPP/72,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,17,1
CPP/73,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,12,1
CPP/74,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,14,0
CPP/75,cpp,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,25,0
CPP/76,cpp,qwen2.5-coder:7b,variable misuse,infinite loop,missing logic,0,13,0
CPP/77,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,8,1
CPP/78,cpp,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,12,1
CPP/79,cpp,qwen2.5-coder:7b,missing logic,incorrect output,operator misuse,0,14,1
CPP/80,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,9,1
CPP/81,cpp,qwen2.5-coder:7b,excess logic,incorrect output,value misuse,0,23,0
CPP/82,cpp,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,11,1
CPP/83,cpp,qwen2.5-coder:7b,excess logic,incorrect output,missing logic,0,6,0
CPP/84,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,16,1
CPP/85,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,9,1
CPP/86,cpp,qwen2.5-coder:7b,missing logic,incorrect output,variable misuse,0,20,0
CPP/87,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,19,1
CPP/88,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,excess logic,0,15,1
CPP/89,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,12,1
CPP/90,cpp,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,14,1
CPP/91,cpp,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,26,0
CPP/92,cpp,qwen2.5-coder:7b,missing logic,incorrect output,variable misuse,0,10,1
CPP/93,cpp,qwen2.5-coder:7b,missing logic,incorrect output,value misuse,0,29,0
CPP/94,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,value misuse,0,26,1
CPP/95,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,22,0
CPP/96,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,19,1
CPP/97,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,6,1
CPP/98,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,8,1
CPP/99,cpp,qwen2.5-coder:7b,function misuse,incorrect output,operator misuse,0,16,1
CPP/100,cpp,qwen2.5-coder:7b,excess logic,incorrect output,missing logic,0,11,0
CPP/101,cpp,qwen2.5-coder:7b,value misuse,incorrect output,variable misuse,0,20,1
CPP/102,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,6,0
CPP/103,cpp,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,20,0
CPP/104,cpp,qwen2.5-coder:7b,excess logic,incorrect output,missing logic,0,20,1
CPP/105,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,22,1
CPP/106,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,16,1
CPP/107,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,16,1
CPP/108,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,23,0
CPP/109,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,17,1
CPP/110,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,23,1
CPP/111,cpp,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,23,0
CPP/112,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,15,1
CPP/113,cpp,qwen2.5-coder:7b,excess logic,incorrect output,value misuse,0,27,0
CPP/114,cpp,qwen2.5-coder:7b,function misuse,incorrect output,missing logic,0,13,1
CPP/115,cpp,qwen2.5-coder:7b,function misuse,incorrect output,operator misuse,0,13,1
CPP/116,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,variable misuse,1,34,1
CPP/117,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,27,1
CPP/118,cpp,qwen2.5-coder:7b,excess logic,incorrect output,value misuse,0,20,1
CPP/119,cpp,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,23,0
CPP/120,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,10,0
CPP/121,cpp,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,6,1
CPP/122,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,7,1
CPP/123,cpp,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,15,1
CPP/124,cpp,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,32,0
CPP/125,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,33,0
CPP/126,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,12,1
CPP/127,cpp,qwen2.5-coder:7b,missing logic,incorrect output,operator misuse,0,16,0
CPP/128,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,13,1
CPP/129,cpp,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,58,0
CPP/130,cpp,qwen2.5-coder:7b,excess logic,incorrect output,value misuse,0,12,0
CPP/131,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,16,1
CPP/132,cpp,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,15,0
CPP/133,cpp,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,10,1
CPP/134,cpp,qwen2.5-coder:7b,function misuse,incorrect output,operator misuse,0,12,1
CPP/135,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,9,1
CPP/136,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,29,0
CPP/137,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,41,0
CPP/138,cpp,qwen2.5-coder:7b,excess logic,incorrect output,missing logic,0,7,1
CPP/139,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,11,1
CPP/140,cpp,qwen2.5-coder:7b,excess logic,incorrect output,missing logic,0,23,0
CPP/141,cpp,qwen2.5-coder:7b,missing logic,incorrect output,operator misuse,0,19,0
CPP/142,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,13,1
CPP/143,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,29,0
CPP/144,cpp,qwen2.5-coder:7b,excess logic,incorrect output,variable misuse,0,21,1
CPP/145,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,27,0
CPP/146,cpp,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,14,1
CPP/147,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,23,0
CPP/148,cpp,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,18,1
CPP/149,cpp,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,15,1
